지역,연도,생산비율,가중치
전남,2015,43.1,0.431
전북,2015,11.46,0.1146
충남,2015,10.3,0.103
충북,2015,9.94,0.0994
경기,2015,9.58,0.0958
경북,2015,9.16,0.0916
강원,2015,6.47,0.0647
전남,2016,43.43,0.4343
전북,2016,9.97,0.0997
충남,2016,9.5,0.095
충북,2016,9.36,0.0936
경기,2016,9.93,0.0993
경북,2016,10.35,0.1035
강원,2016,7.47,0.0747
전남,2017,41.13,0.4113
전북,2017,9.95,0.0995
충남,2017,10.46,0.1046
충북,2017,10.48,0.1048
경기,2017,8.7,0.087
경북,2017,12.02,0.1202
강원,2017,7.27,0.0727
전남,2018,44.88,0.4488
전북,2018,9.75,0.0975
충남,2018,7.83,0.0783
충북,2018,11,0.11
경기,2018,8.72,0.0872
경북,2018,11.07,0.1107
강원,2018,6.76,0.0676
전남,2019,41.21,0.4121
전북,2019,8.72,0.0872
충남,2019,7.72,0.0772
충북,2019,9.92,0.0992
경기,2019,9.98,0.0998
경북,2019,12.93,0.1293
강원,2019,9.52,0.0952
전남,2020,42.94,0.4294
전북,2020,10.48,0.1048
충남,2020,7.82,0.0782
충북,2020,10.62,0.1062
경기,2020,7.42,0.0742
경북,2020,11.15,0.1115
강원,2020,9.56,0.0956
전남,2021,42.42,0.4242
전북,2021,9.39,0.0939
충남,2021,8.18,0.0818
충북,2021,13.14,0.1314
경기,2021,8.29,0.0829
경북,2021,9.67,0.0967
강원,2021,8.9,0.089
전남,2022,42.04,0.4204
전북,2022,9.84,0.0984
충남,2022,7.54,0.0754
충북,2022,11.76,0.1176
경기,2022,7.41,0.0741
경북,2022,11.66,0.1166
강원,2022,9.74,0.0974
전남,2023,42.62,0.4262
전북,2023,8.12,0.0812
충남,2023,7.54,0.0754
충북,2023,13.1,0.131
경기,2023,7.27,0.0727
경북,2023,11.27,0.1127
강원,2023,10.09,0.1009
전남,2024,30.22,0.3022
전북,2024,11.43,0.1143
충남,2024,9.93,0.0993
충북,2024,13.29,0.1329
경기,2024,7.25,0.0725
경북,2024,16.34,0.1634
강원,2024,11.54,0.1154
경기,1996,0.1536,0.1536
경기,1997,0.1654,0.1654
경기,1998,0.18,0.18
경기,1999,0.1523,0.1523
경기,2000,0.1568,0.1568
경기,2001,0.196,0.196
경기,2002,0.1577,0.1577
경기,2003,0.1412,0.1412
경기,2004,0.1451,0.1451
경기,2005,0.1697,0.1697
경기,2006,0.1446,0.1446
경기,2007,0.1572,0.1572
경기,2008,0.1485,0.1485
경기,2009,0.1603,0.1603
경기,2010,0.1511,0.1511
