연도,지역,장마일수,강수일수,합계강수량,폭염일수
2015,강원,35,20,235.7,9.5
2016,강원,37,13,441.6,19
2017,강원,29,17,298.4,8.2
2018,강원,16,14,280,25.2
2019,강원,34,16,239,11.5
2020,강원,54,33,653.5,5.5
2021,강원,17,10,145.9,14.8
2022,강원,33,20,296.9,6.8
2023,강원,31,18,447.8,15
2024,강원,29,20,348.8,20.5
2015,경기,35,16,229,8.2
2016,경기,37,14,297.8,20.5
2017,경기,29,19,425.3,8.8
2018,경기,16,10,308.7,31.2
2019,경기,34,20,223.4,14.2
2020,경기,54,37,1012.8,3.5
2021,경기,17,12,131.5,15
2022,경기,33,19,455.5,6.7
2023,경기,31,22,539.5,13
2024,경기,29,23,619.6,22.3
2015,경북,36,14,228.6,13.6
2016,경북,29,16,203.5,23.8
2017,경북,31,16,167.4,19.4
2018,경북,14,11,240.7,33.4
2019,경북,33,14,295.2,17.4
2020,경북,38,23,391,12.4
2021,경북,17,12,264.5,12
2022,경북,33,13,171.3,18.5
2023,경북,32,19,379.3,15.9
2024,경북,36,20,441.1,33.9
2015,전북,36,17,219.6,10.3
2016,전북,29,20,408.7,25.4
2017,전북,31,22,257.2,12.1
2018,전북,14,11,269.5,34.7
2019,전북,33,22,390.2,12
2020,전북,38,27,637,6.9
2021,전북,17,10,202.5,10.9
2022,전북,33,22,271.8,8.4
2023,전북,32,25,1093.4,15
2024,전북,36,27,632.3,32.6
2015,전남,36,16,332.4,4.9
2016,전남,29,17,270.7,18.6
2017,전남,31,10,299.3,11.4
2018,전남,14,9,308.2,26
2019,전남,33,12,559.3,7.7
2020,전남,38,21,430.3,5.7
2021,전남,17,7,450.1,5.3
2022,전남,33,12,224.2,5.1
2023,전남,32,25,649.1,9.3
2024,전남,36,22,404.7,33.1
2015,충북,35,21,219.2,10.2
2016,충북,37,17,533.9,26.4
2017,충북,29,20,518,10.6
2018,충북,16,11,261.8,36
2019,충북,34,17,246.1,15.2
2020,충북,54,38,907.3,6.2
2021,충북,17,11,160.8,14.2
2022,충북,33,16,194.2,10.6
2023,충북,31,23,931.7,15
2024,충북,29,20,561.4,26
2015,충남,35,21,237.5,6.7
2016,충남,37,17,410.8,22
2017,충남,29,19,278,9.3
2018,충남,16,9,263.2,32.8
2019,충남,34,17,192.6,12.3
2020,충남,54,39,970.4,6.5
2021,충남,17,12,296.1,16
2022,충남,33,18,228.9,11.2
2023,충남,31,21,806.9,17.3
2024,충남,29,19,597.9,32.5
