지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),합계 일조시간(hr)
90,속초,1995-01,.1,4.5,-4.1,11,11,,217.8
90,속초,1995-02,2.1,6.4,-1.6,45,20.4,,166.2
90,속초,1995-03,5.2,9.2,1.3,110.4,30.3,,179.5
90,속초,1995-04,11.5,16.1,6.8,27.3,8.4,3.7,264.8
90,속초,1995-05,15.8,19.9,11.1,18.1,9.9,3.1,244.6
90,속초,1995-06,17.7,20,14.8,107,44.7,8.8,104.9
90,속초,1995-07,23.9,27.2,20.7,176.6,48.3,10.5,184.6
90,속초,1995-08,25.4,29,22,441.7,102,22.5,135.2
90,속초,1995-09,19.4,23.7,15.2,142.7,78,21.4,175.6
90,속초,1995-10,15.6,20.4,10.9,6.4,2.4,2.3,196.8
90,속초,1995-11,8.4,13.6,3,8.8,4.2,,198.5
90,속초,1995-12,1.1,6,-3.1,2.5,2.5,,182.5
90,속초,1996-01,-.4,4.2,-4.8,23.5,11.8,,185.7
90,속초,1996-02,.1,4.5,-4.4,114.2,51.3,,164.1
90,속초,1996-03,4,8.1,-.1,75.1,25.2,,143.7
90,속초,1996-04,11.2,15.9,6.1,64.9,38.4,9.8,262.2
90,속초,1996-05,14.2,18.9,10.4,20.2,5.6,3.3,151.1
90,속초,1996-06,18,21.5,15.4,356.5,174.5,43.4,107.6
90,속초,1996-07,22,25.7,18.8,189.4,77.7,17.5,128.3
90,속초,1996-08,23,26,19.7,200,64.1,10.7,135.8
90,속초,1996-09,20.2,24.4,16,42,20.3,12.6,212.3
90,속초,1996-10,14.5,19.1,10.1,77.7,22.4,6.4,159.3
90,속초,1996-11,7.4,11.8,3,66,26.8,,132.7
90,속초,1996-12,3.8,8.5,-.5,20.1,14.2,,170.6
90,속초,1997-01,-.4,4.5,-4.6,59.9,33.5,,187
90,속초,1997-02,2,6.7,-2,34.4,18.8,,158.1
90,속초,1997-03,7,12,2.3,43.6,24.2,,199.2
90,속초,1997-04,12.7,17.2,8.6,45.4,26.3,4,193.4
90,속초,1997-05,16.2,20.5,12,355.6,142.3,25.9,135
90,속초,1997-06,19.8,23.1,16.5,113,49.2,13.2,110.7
90,속초,1997-07,24.2,27.8,20.7,73.3,58.4,19.3,218.3
90,속초,1997-08,24.7,29,21.4,60.3,23.8,9.6,170.5
90,속초,1997-09,18.4,22.6,14.6,322.4,92.5,33.2,187.6
90,속초,1997-10,14.3,19.2,9.3,39.7,22.5,11.7,240.5
90,속초,1997-11,9.5,13.6,5.9,153.9,44.6,,139.9
90,속초,1997-12,3,6.8,-.8,101,31.6,,154.2
90,속초,1998-01,-.1,3.8,-3.5,47.6,11.5,,161.7
90,속초,1998-02,2.8,6.7,-.7,69,26.8,,132.3
90,속초,1998-03,8.6,13.3,3.9,12.6,8.9,,215.5
90,속초,1998-04,13.4,17,9.8,101.2,37.2,7.2,159.2
90,속초,1998-05,17,21.2,12.6,67.2,32.2,11.4,255.1
90,속초,1998-06,18.4,21.3,16,199,49.7,15,118.8
90,속초,1998-07,21.6,23.7,19.8,550.6,194,29.1,50.1
90,속초,1998-08,23.1,26.1,20.9,376.5,97.3,29.5,125.1
90,속초,1998-09,21.1,24.7,17.6,175,71,26,157.1
90,속초,1998-10,16.8,20.8,13.1,81.9,29.3,17.5,167.2
90,속초,1998-11,8.9,13.2,4.6,65.6,39.8,,187.5
90,속초,1998-12,4.6,8.3,.7,51.5,32.7,,190.4
90,속초,1999-01,1.8,5.9,-2.3,1.1,.7,,202.9
90,속초,1999-02,3,7.2,-1.1,4.2,3.8,,186.6
90,속초,1999-03,5.6,9.8,1.3,55.8,28.4,,182.9
90,속초,1999-04,11.5,15.7,7.1,158.5,60.6,9,207.9
90,속초,1999-05,17,21.5,12.8,167.6,106.3,14.3,237.5
90,속초,1999-06,20.8,24.6,17.5,78.8,51.6,8.3,187
90,속초,1999-07,23.1,25.9,20.7,152.1,60,22.9,127.4
90,속초,1999-08,23.3,26.1,21.1,515.2,151.4,31,128.4
90,속초,1999-09,21.5,24.7,18.5,431.4,195.7,22.3,140.9
90,속초,1999-10,14.9,19.3,11,76.6,24.4,4.6,157.1
90,속초,1999-11,9.3,13.4,5.4,78.3,33.1,,174.2
90,속초,1999-12,3.1,7,-.8,2.4,1.3,,186.5
90,속초,2000-01,-.4,3.2,-4,90.2,31.5,,150
90,속초,2000-02,-.1,4.1,-4.4,8.4,8.3,,225.7
90,속초,2000-03,6.9,11.5,2.1,8.7,4.9,,206.3
90,속초,2000-04,11.2,16,6.5,23.4,9.5,3.8,200.9
90,속초,2000-05,14.3,18.8,10.7,71,21.1,7,156.8
90,속초,2000-06,19.2,23.2,15.6,175.7,49.2,10.7,202.5
90,속초,2000-07,24.8,28.8,21.5,109.2,60.5,8.8,198.3
90,속초,2000-08,24,27.2,21.6,440.3,93.3,26.7,139.3
90,속초,2000-09,18.6,22.1,15.5,347.2,66.9,18,155.9
90,속초,2000-10,14.5,18.5,10.3,7,5.5,1.5,165.4
90,속초,2000-11,7.8,11.7,3.3,58.3,35.1,,155
90,속초,2000-12,3.2,7.4,-1.3,5.8,2.6,,189.6
90,속초,2001-01,-2.3,1.2,-5.8,37.6,25,,166.6
90,속초,2001-02,1.2,5.3,-2.7,64.4,20.1,,153.4
90,속초,2001-03,5.6,10.1,1.1,20.8,10.5,,171.6
90,속초,2001-04,12.3,17.2,7.1,14.1,11.2,1.6,215.1
90,속초,2001-05,17.2,22.2,13.5,7.2,2.5,1.2,209.3
90,속초,2001-06,20,23.6,17,126.6,41.2,14.5,132.7
90,속초,2001-07,23.4,27.1,20.1,233.3,99.1,18.6,169.2
90,속초,2001-08,22.4,26.3,18.8,56.9,21.5,12.5,185.9
90,속초,2001-09,20,24.1,15.9,311.5,73.7,24.7,154.5
90,속초,2001-10,15.9,20.3,12,234.9,80.4,24.8,124.1
90,속초,2001-11,8.8,13.3,4,36.7,35.2,,185.2
90,속초,2001-12,1.4,5.5,-2.3,20.2,15.5,,188
90,속초,2002-01,.8,5,-2.9,87.1,35.7,,159.5
90,속초,2002-02,4.2,8.7,-.4,.6,.5,,180.2
90,속초,2002-03,8.7,13.5,3.6,14.1,6.9,,187.2
90,속초,2002-04,12.2,17.2,7.6,58.5,27,7.5,222.8
90,속초,2002-05,15.6,20.1,11.1,78.2,34,11.5,214.6
90,속초,2002-06,19.5,24,15.5,66.5,20.5,10,213.2
90,속초,2002-07,21.9,25.5,19.2,301.4,92.5,45.5,105.2
90,속초,2002-08,22.7,26,20.4,531.2,295.5,45.5,104
90,속초,2002-09,19.1,23.3,15.3,225.9,120.5,59,158.2
90,속초,2002-10,13,17.7,8.6,42.8,19,4,172.4
90,속초,2002-11,5.1,9.6,.7,4,1.5,,189
90,속초,2002-12,1.2,4.9,-2.6,140,30.5,,127.1
90,속초,2003-01,-1.6,2.6,-5.9,34.7,12.5,,171.3
90,속초,2003-02,1.6,5.4,-2.1,63.6,26,,124
90,속초,2003-03,4.5,8.8,.8,56.8,21,,149.9
90,속초,2003-04,11,16.1,6.4,136.1,46,8,172.5
90,속초,2003-05,14.8,19,11.3,111.5,98,14,174.3
90,속초,2003-06,20.3,24.3,17.1,132.1,58,10,151.3
90,속초,2003-07,20.8,23.7,18.6,258,113.5,26,90.1
90,속초,2003-08,22.5,26,19.6,349.2,67.5,17.5,120
90,속초,2003-09,19.7,23.6,16.2,425.4,121,28.5,115.2
90,속초,2003-10,14.1,19,9.3,51.6,26,5.5,187.2
90,속초,2003-11,9.3,12.6,5.4,278.2,52.5,,107.5
90,속초,2003-12,2.9,7,-1.2,1.8,1.5,,207.8
90,속초,2004-01,.5,4.6,-3.3,25,16.5,,206.8
90,속초,2004-02,3.6,7.9,-.5,26.7,16.5,,197.6
90,속초,2004-03,6.9,11.5,2.1,1.8,1.5,,237.6
90,속초,2004-04,12.7,18.8,7.5,104.4,48.5,9,228.2
90,속초,2004-05,16.7,21.9,12.3,46.7,21.5,4,204.7
90,속초,2004-06,20.8,25.2,17.1,99.7,51,14,191.8
90,속초,2004-07,23.9,27.3,21.1,554,241,69,128.8
90,속초,2004-08,23.1,26.6,20.1,460.3,134.5,27,151.4
90,속초,2004-09,20.1,24,16.8,200.1,86,20,161.3
90,속초,2004-10,14.8,19.5,10.2,16.9,16.5,5,201.9
90,속초,2004-11,10.6,14.9,6.2,39.5,11.5,,184.2
90,속초,2004-12,4.2,8.7,.1,12.2,5,,179.4
90,속초,2005-01,-.1,3.9,-4.2,28.4,12.5,,204.6
90,속초,2005-02,-.8,3.1,-4.8,52.4,35,,165.1
90,속초,2005-03,4.2,8.4,-.2,102.5,41.1,,223.2
90,속초,2005-04,12.8,17.5,7.9,47.9,17.5,6.5,221.9
90,속초,2005-05,14.4,19.3,10.4,122.7,89.5,8,219.6
90,속초,2005-06,20.6,24.8,17.4,151.2,105,16.5,174.2
90,속초,2005-07,24,27.5,21.3,185.2,45,12,166.4
90,속초,2005-08,25,28.8,21.9,246.9,95,19.5,168
90,속초,2005-09,20,23.6,16.7,263.9,69,16,131
90,속초,2005-10,15,19.6,10.5,114.8,59.5,32,174.4
90,속초,2005-11,9.8,14.2,5.7,32.9,25,,192.5
90,속초,2005-12,-1.4,2.8,-5.9,.4,.4,,195.2
90,속초,2006-01,.2,3.9,-3.3,37.1,15.5,,145
90,속초,2006-02,1.5,5.8,-2.7,18.3,7.5,,171
90,속초,2006-03,6,10.9,.9,9.3,3.5,,216.8
90,속초,2006-04,9.5,13.7,6.1,90.2,40,11.5,137.9
90,속초,2006-05,14.4,19.6,10.5,141.7,76.5,14,154.9
90,속초,2006-06,18.4,21.9,15.6,129,55.5,14.5,102.4
90,속초,2006-07,21,24.1,18.8,545,104,33.5,46.6
